Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature;;;;;;;;;
"spotify:track:3QwBODjSEzelZyVjxPOHdq,""Otra Vez (feat. J Balvin)"",""Motivan2"",""Zion & Lennox";"J Balvin"",2016-09-30,209453,82,false,,2026-03-26T13:27:13Z,""reggaeton,Música latina"",""WEA Latina"",0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,4";;;;;;;;
"spotify:track:4ObjArCiona7v0xbZ83rUZ,""Bien Loco"",""Bien Loco"",""Nova y Jory"",2009-06-26,218044,70,false,,2026-03-26T13:24:57Z,""reggaeton"",""JM World Music"",0.515,0.812,7,-5.06,0,0.361,0.411,0,0.101,0.779,169.981,4";;;;;;;;;
"spotify:track:1KqMy6u20pZA7glHbJqw2E,""Tu quieres"",""Puesto Pa Lo Mio"",""Amaro";"Ñejo & Dalmata"",2013-02-22,212128,60,true,,2026-03-26T13:21:16Z,""reggaeton"",""Dinastia INC"",0.737,0.563,8,-8.742,1,0.117,0.417,0,0.0633,0.785,80.001,4";;;;;;;;
"spotify:track:16IrggPagfE6dOjttBR9al,""Curiosidad"",""Nicky Jam Hits"",""Nicky Jam"",2014-09-09,201525,43,false,,2026-03-26T13:17:45Z,""reggaeton,Música latina"",""Nicky Jam"",0.757,0.783,8,-6.003,0,0.0931,0.215,0,0.335,0.898,150.068,4";;;;;;;;;
"spotify:track:3H7UaBpIlxh6gCC9LBDzsM,""A Que No Te Atreves"",""Alta Jerarquia (El Patrón)"",""Tito """"El Bambino""""";"Chencho Corleone"",2014-12-09,186760,75,false,,2026-03-25T17:37:22Z,""reggaeton,urbano latino"",""On Fire Music"",0.772,0.796,0,-5.205,1,0.0755,0.27,0,0.307,0.804,89.993,4";;;;;;;;
"spotify:track:3phGZ5oFBLaEluf23rcvVJ,""El Bus"",""La Voz"",""Yelsid"",2019-08-15,224725,61,false,,2026-03-25T17:34:04Z,""reggaeton"",""Yelsid"",0.752,0.804,10,-5.195,1,0.0419,0.272,0,0.0522,0.802,172.05,4";;;;;;;;;
"spotify:track:7aeFdNS1Nz7akNmrAL948y,""Juego Prohibidos"",""Nicky Jam Hits"",""Nicky Jam"",2014-09-09,191297,58,false,,2026-03-25T17:32:56Z,""reggaeton,Música latina"",""Nicky Jam"",0.739,0.702,8,-5.957,0,0.155,0.271,0,0.0872,0.635,172.042,4";;;;;;;;;
"spotify:track:7L6OH2Vvayl3qMnmZxhsNh,""Voy a Beber"",""Nicky Jam Hits"",""Nicky Jam"",2014-09-09,212377,58,false,,2026-03-25T17:31:37Z,""reggaeton,Música latina"",""Nicky Jam"",0.798,0.736,9,-5.769,0,0.0552,0.0395,0,0.0708,0.907,81.993,4";;;;;;;;;
"spotify:track:1LszjjoVwDDZcWUQbzeDLG,""Explícale (feat. Bad Bunny)"",""#Update"",""Yandel";"Bad Bunny"",2017-09-08,223133,76,false,,2026-03-22T06:58:03Z,""reggaeton,urbano latino,trap latino,Música latina"",""Sony Music Latin"",0.808,0.69,1,-4.151,1,0.148,0.0583,0,0.103,0.64,125.086,4";;;;;;;;
"spotify:track:7acURarwO3OFjtUKzzQq1T,""Miedo"",""Una Niña Inútil"",""Cazzu"",2020-08-28,189666,61,false,,2026-03-19T14:12:01Z,""trap argentino,trap latino,turreo"",""UMLE - Latino"",0.689,0.342,11,-10.129,0,0.071,0.608,0.0425,0.22,0.217,129.962,4";;;;;;;;;
"spotify:track:5HxcRTUT0X0X7WzwPoj0cm,""Bombos y Tarolas"",""Sincopa"",""Cartel De Santa"",2010-06-11,292160,74,true,,2026-03-19T13:54:22Z,""hip hop mexicano,hip hop latino"",""RCA Records Label"",0.894,0.65,10,-4.956,0,0.117,0.00248,0.00869,0.057,0.787,87.982,4";;;;;;;;;
"spotify:track:3NqbKUOgaU2LgIFRbu4B12,""Éxtasis"",""Así Soy Yo"",""Millonario & W. Corona";"Cartel De Santa"",2012-01-17,289013,78,true,,2026-03-19T13:41:41Z,""hip hop mexicano,hip hop latino"",""Babilonia Music, S.A. de C.V."",0.937,0.791,0,-5.242,1,0.087,0.0205,0.000234,0.0433,0.974,119.965,4";;;;;;;;
"spotify:track:76YpLOgJcD2YInDHs5u69s,""De la Vida Como Pelicula, Tragedia, Comedia y Ficcion"",""De la Vida Como Pelicula, Tragedia, Comedia y Ficcion"",""Canserbero";"Afromak"",2011-09-16,481000,72,false,,2026-03-18T03:30:18Z,""hip hop latino,rap"",""Fundacion El Canserbero"",0.584,0.808,0,-5.342,1,0.281,0.638,0,0.0969,0.709,88.407,4";;;;;;;;
"spotify:track:3dYZbtgD0eSL4uJFtiI2D0,""Lo Que Más Importa"",""1306"",""Penyair";Realidad Mental;"Alka Produce"",2023-04-21,214708,54,false,,2026-03-18T03:28:08Z,""hip hop latino,hip hop mexicano"",""Penyair"",0.795,0.62,5,-5.923,0,0.338,0.56,0.00177,0.0583,0.562,84.966,4";;;;;;;
"spotify:track:3nef5W8jTkXrOKgCu4kmq7,""Dangerous Woman"",""Dangerous Woman"",""Ariana Grande"",2016-04-01,235946,82,false,,2026-03-17T12:46:26Z,""pop"",""Universal Records"",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3";;;;;;;;;
